year,location,month,month.number,births,location.type
2000,Acre,Jan,1,1247,state
2000,Acre,Feb,2,1262,state
2000,Acre,Mar,3,1289,state
2000,Acre,Apr,4,1277,state
2000,Acre,May,5,1428,state
2000,Acre,Jun,6,1258,state
2000,Acre,Jul,7,1224,state
2000,Acre,Aug,8,1328,state
2000,Acre,Sept,9,1276,state
2000,Acre,Oct,10,1282,state
2000,Acre,Nov,11,1274,state
2000,Acre,Dec,12,1083,state
2001,Acre,Jan,1,1240,state
2001,Acre,Feb,2,1067,state
2001,Acre,Mar,3,1262,state
2001,Acre,Apr,4,1360,state
2001,Acre,May,5,1360,state
2001,Acre,Jun,6,1189,state
2001,Acre,Jul,7,1248,state
2001,Acre,Aug,8,1219,state
2001,Acre,Sept,9,1215,state
2001,Acre,Oct,10,1406,state
2001,Acre,Nov,11,1178,state
2001,Acre,Dec,12,1155,state
2002,Acre,Jan,1,1343,state
2002,Acre,Feb,2,1261,state
2002,Acre,Mar,3,1389,state
2002,Acre,Apr,4,1155,state
2002,Acre,May,5,1408,state
2002,Acre,Jun,6,1437,state
2002,Acre,Jul,7,1346,state
2002,Acre,Aug,8,1246,state
2002,Acre,Sept,9,1404,state
2002,Acre,Oct,10,1345,state
2002,Acre,Nov,11,1269,state
2002,Acre,Dec,12,1238,state
2003,Acre,Jan,1,1428,state
2003,Acre,Feb,2,1231,state
2003,Acre,Mar,3,1513,state
2003,Acre,Apr,4,1430,state
2003,Acre,May,5,1552,state
2003,Acre,Jun,6,1395,state
2003,Acre,Jul,7,1294,state
2003,Acre,Aug,8,1336,state
2003,Acre,Sept,9,1289,state
2003,Acre,Oct,10,1211,state
2003,Acre,Nov,11,1187,state
2003,Acre,Dec,12,1120,state
2004,Acre,Jan,1,1470,state
2004,Acre,Feb,2,1348,state
2004,Acre,Mar,3,1452,state
2004,Acre,Apr,4,1490,state
2004,Acre,May,5,1606,state
2004,Acre,Jun,6,1414,state
2004,Acre,Jul,7,1386,state
2004,Acre,Aug,8,1309,state
2004,Acre,Sept,9,1252,state
2004,Acre,Oct,10,1341,state
2004,Acre,Nov,11,1333,state
2004,Acre,Dec,12,1183,state
2005,Acre,Jan,1,1385,state
2005,Acre,Feb,2,1328,state
2005,Acre,Mar,3,1720,state
2005,Acre,Apr,4,1584,state
2005,Acre,May,5,1632,state
2005,Acre,Jun,6,1538,state
2005,Acre,Jul,7,1417,state
2005,Acre,Aug,8,1458,state
2005,Acre,Sept,9,1461,state
2005,Acre,Oct,10,1467,state
2005,Acre,Nov,11,1308,state
2005,Acre,Dec,12,1184,state
2006,Acre,Jan,1,1300,state
2006,Acre,Feb,2,1292,state
2006,Acre,Mar,3,1478,state
2006,Acre,Apr,4,1563,state
2006,Acre,May,5,1599,state
2006,Acre,Jun,6,1482,state
2006,Acre,Jul,7,1422,state
2006,Acre,Aug,8,1473,state
2006,Acre,Sept,9,1402,state
2006,Acre,Oct,10,1198,state
2006,Acre,Nov,11,1064,state
2006,Acre,Dec,12,1175,state
2007,Acre,Jan,1,1440,state
2007,Acre,Feb,2,1452,state
2007,Acre,Mar,3,1557,state
2007,Acre,Apr,4,1406,state
2007,Acre,May,5,1435,state
2007,Acre,Jun,6,1283,state
2007,Acre,Jul,7,1267,state
2007,Acre,Aug,8,1305,state
2007,Acre,Sept,9,1313,state
2007,Acre,Oct,10,1194,state
2007,Acre,Nov,11,1166,state
2007,Acre,Dec,12,1365,state
2008,Acre,Jan,1,1388,state
2008,Acre,Feb,2,1457,state
2008,Acre,Mar,3,1554,state
2008,Acre,Apr,4,1542,state
2008,Acre,May,5,1617,state
2008,Acre,Jun,6,1501,state
2008,Acre,Jul,7,1465,state
2008,Acre,Aug,8,1494,state
2008,Acre,Sept,9,1491,state
2008,Acre,Oct,10,1496,state
2008,Acre,Nov,11,1476,state
2008,Acre,Dec,12,1513,state
2009,Acre,Jan,1,1453,state
2009,Acre,Feb,2,1369,state
2009,Acre,Mar,3,1542,state
2009,Acre,Apr,4,1482,state
2009,Acre,May,5,1489,state
2009,Acre,Jun,6,1390,state
2009,Acre,Jul,7,1338,state
2009,Acre,Aug,8,1333,state
2009,Acre,Sept,9,1405,state
2009,Acre,Oct,10,1381,state
2009,Acre,Nov,11,1379,state
2009,Acre,Dec,12,1331,state
2010,Acre,Jan,1,1303,state
2010,Acre,Feb,2,1185,state
2010,Acre,Mar,3,1534,state
2010,Acre,Apr,4,1530,state
2010,Acre,May,5,1410,state
2010,Acre,Jun,6,1355,state
2010,Acre,Jul,7,1372,state
2010,Acre,Aug,8,1373,state
2010,Acre,Sept,9,1386,state
2010,Acre,Oct,10,1475,state
2010,Acre,Nov,11,1296,state
2010,Acre,Dec,12,1276,state
2011,Acre,Jan,1,1409,state
2011,Acre,Feb,2,1306,state
2011,Acre,Mar,3,1514,state
2011,Acre,Apr,4,1522,state
2011,Acre,May,5,1742,state
2011,Acre,Jun,6,1473,state
2011,Acre,Jul,7,1485,state
