"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births
	"Alabama"	"01"	"2007"	"2007"	"January"	"1"	5315
	"Alabama"	"01"	"2007"	"2007"	"February"	"2"	4936
	"Alabama"	"01"	"2007"	"2007"	"March"	"3"	5343
	"Alabama"	"01"	"2007"	"2007"	"April"	"4"	5108
	"Alabama"	"01"	"2007"	"2007"	"May"	"5"	5324
	"Alabama"	"01"	"2007"	"2007"	"June"	"6"	5059
	"Alabama"	"01"	"2007"	"2007"	"July"	"7"	5680
	"Alabama"	"01"	"2007"	"2007"	"August"	"8"	5912
	"Alabama"	"01"	"2007"	"2007"	"September"	"9"	5558
	"Alabama"	"01"	"2007"	"2007"	"October"	"10"	5630
	"Alabama"	"01"	"2007"	"2007"	"November"	"11"	5543
	"Alabama"	"01"	"2007"	"2007"	"December"	"12"	5396
	"Alabama"	"01"	"2008"	"2008"	"January"	"1"	5559
	"Alabama"	"01"	"2008"	"2008"	"February"	"2"	5150
	"Alabama"	"01"	"2008"	"2008"	"March"	"3"	5224
	"Alabama"	"01"	"2008"	"2008"	"April"	"4"	5297
	"Alabama"	"01"	"2008"	"2008"	"May"	"5"	5090
	"Alabama"	"01"	"2008"	"2008"	"June"	"6"	5186
	"Alabama"	"01"	"2008"	"2008"	"July"	"7"	5574
	"Alabama"	"01"	"2008"	"2008"	"August"	"8"	5910
	"Alabama"	"01"	"2008"	"2008"	"September"	"9"	5532
	"Alabama"	"01"	"2008"	"2008"	"October"	"10"	5482
	"Alabama"	"01"	"2008"	"2008"	"November"	"11"	4874
	"Alabama"	"01"	"2008"	"2008"	"December"	"12"	5668
	"Alabama"	"01"	"2009"	"2009"	"January"	"1"	5084
	"Alabama"	"01"	"2009"	"2009"	"February"	"2"	4745
	"Alabama"	"01"	"2009"	"2009"	"March"	"3"	5239
	"Alabama"	"01"	"2009"	"2009"	"April"	"4"	5051
	"Alabama"	"01"	"2009"	"2009"	"May"	"5"	4993
	"Alabama"	"01"	"2009"	"2009"	"June"	"6"	5229
	"Alabama"	"01"	"2009"	"2009"	"July"	"7"	5635
	"Alabama"	"01"	"2009"	"2009"	"August"	"8"	5483
	"Alabama"	"01"	"2009"	"2009"	"September"	"9"	5486
	"Alabama"	"01"	"2009"	"2009"	"October"	"10"	5215
	"Alabama"	"01"	"2009"	"2009"	"November"	"11"	4968
	"Alabama"	"01"	"2009"	"2009"	"December"	"12"	5347
	"Alabama"	"01"	"2010"	"2010"	"January"	"1"	4917
	"Alabama"	"01"	"2010"	"2010"	"February"	"2"	4617
	"Alabama"	"01"	"2010"	"2010"	"March"	"3"	5062
	"Alabama"	"01"	"2010"	"2010"	"April"	"4"	4662
	"Alabama"	"01"	"2010"	"2010"	"May"	"5"	4716
	"Alabama"	"01"	"2010"	"2010"	"June"	"6"	4841
	"Alabama"	"01"	"2010"	"2010"	"July"	"7"	5253
	"Alabama"	"01"	"2010"	"2010"	"August"	"8"	5282
	"Alabama"	"01"	"2010"	"2010"	"September"	"9"	5492
	"Alabama"	"01"	"2010"	"2010"	"October"	"10"	5034
	"Alabama"	"01"	"2010"	"2010"	"November"	"11"	5102
	"Alabama"	"01"	"2010"	"2010"	"December"	"12"	5072
	"Alabama"	"01"	"2011"	"2011"	"January"	"1"	4949
	"Alabama"	"01"	"2011"	"2011"	"February"	"2"	4503
	"Alabama"	"01"	"2011"	"2011"	"March"	"3"	4887
	"Alabama"	"01"	"2011"	"2011"	"April"	"4"	4383
