source,country,area,lat,lon,year,month,month_num,date,births,country_area
ons.gov.uk,United Kingdom,,52,-1,2000,January,1,2000-01-01,50547,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2000,February,2,2000-02-01,47017,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2000,March,3,2000-03-01,51115,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2000,April,4,2000-04-01,49031,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2000,May,5,2000-05-01,51752,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2000,June,6,2000-06-01,49917,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2000,July,7,2000-07-01,52609,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2000,August,8,2000-08-01,51922,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2000,September,9,2000-09-01,50443,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2000,October,10,2000-10-01,50862,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2000,November,11,2000-11-01,49771,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2000,December,12,2000-12-01,49455,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2001,January,1,2001-01-01,50591,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2001,February,2,2001-02-01,45150,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2001,March,3,2001-03-01,49793,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2001,April,4,2001-04-01,47805,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2001,May,5,2001-05-01,51474,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2001,June,6,2001-06-01,49483,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2001,July,7,2001-07-01,51328,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2001,August,8,2001-08-01,50958,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2001,September,9,2001-09-01,50680,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2001,October,10,2001-10-01,51364,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2001,November,11,2001-11-01,48417,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2001,December,12,2001-12-01,47591,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2002,January,1,2002-01-01,49165,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2002,February,2,2002-02-01,45150,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2002,March,3,2002-03-01,48972,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2002,April,4,2002-04-01,47940,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2002,May,5,2002-05-01,50726,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2002,June,6,2002-06-01,48539,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2002,July,7,2002-07-01,51984,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2002,August,8,2002-08-01,51122,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2002,September,9,2002-09-01,51933,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2002,October,10,2002-10-01,52241,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2002,November,11,2002-11-01,48611,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2002,December,12,2002-12-01,49739,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2003,January,1,2003-01-01,50579,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2003,February,2,2003-02-01,46017,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2003,March,3,2003-03-01,50845,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2003,April,4,2003-04-01,50761,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2003,May,5,2003-05-01,52910,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2003,June,6,2003-06-01,51481,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2003,July,7,2003-07-01,55425,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2003,August,8,2003-08-01,53311,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2003,September,9,2003-09-01,54124,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2003,October,10,2003-10-01,54159,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2003,November,11,2003-11-01,50599,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2003,December,12,2003-12-01,51258,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2004,January,1,2004-01-01,53028,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2004,February,2,2004-02-01,49350,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2004,March,3,2004-03-01,52793,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2004,April,4,2004-04-01,51383,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2004,May,5,2004-05-01,52726,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2004,June,6,2004-06-01,53313,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2004,July,7,2004-07-01,55619,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2004,August,8,2004-08-01,54270,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2004,September,9,2004-09-01,55556,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2004,October,10,2004-10-01,55368,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2004,November,11,2004-11-01,52899,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2004,December,12,2004-12-01,53416,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2005,January,1,2005-01-01,52527,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2005,February,2,2005-02-01,48080,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2005,March,3,2005-03-01,53671,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2005,April,4,2005-04-01,52064,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2005,May,5,2005-05-01,53610,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2005,June,6,2005-06-01,54078,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2005,July,7,2005-07-01,56526,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2005,August,8,2005-08-01,57230,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2005,September,9,2005-09-01,56396,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2005,October,10,2005-10-01,55614,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2005,November,11,2005-11-01,52279,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2005,December,12,2005-12-01,53760,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2006,January,1,2006-01-01,53462,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2006,February,2,2006-02-01,50196,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2006,March,3,2006-03-01,55861,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2006,April,4,2006-04-01,52993,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2006,May,5,2006-05-01,56724,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2006,June,6,2006-06-01,56463,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2006,July,7,2006-07-01,57486,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2006,August,8,2006-08-01,58367,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2006,September,9,2006-09-01,59065,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2006,October,10,2006-10-01,58467,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2006,November,11,2006-11-01,55541,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2006,December,12,2006-12-01,54976,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2007,January,1,2007-01-01,56318,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2007,February,2,2007-02-01,51415,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2007,March,3,2007-03-01,56292,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2007,April,4,2007-04-01,54223,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2007,May,5,2007-05-01,58830,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2007,June,6,2007-06-01,56486,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2007,July,7,2007-07-01,60202,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2007,August,8,2007-08-01,60928,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2007,September,9,2007-09-01,60289,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2007,October,10,2007-10-01,60072,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2007,November,11,2007-11-01,57024,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2007,December,12,2007-12-01,57934,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2008,January,1,2008-01-01,59691,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2008,February,2,2008-02-01,55226,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2008,March,3,2008-03-01,58846,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2008,April,4,2008-04-01,58064,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2008,May,5,2008-05-01,60405,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2008,June,6,2008-06-01,58491,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2008,July,7,2008-07-01,61811,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2008,August,8,2008-08-01,60407,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2008,September,9,2008-09-01,60229,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2008,October,10,2008-10-01,59749,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2008,November,11,2008-11-01,57201,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2008,December,12,2008-12-01,58591,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2009,January,1,2009-01-01,57361,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2009,February,2,2009-02-01,53033,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2009,March,3,2009-03-01,58560,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2009,April,4,2009-04-01,57447,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2009,May,5,2009-05-01,59058,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2009,June,6,2009-06-01,58620,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2009,July,7,2009-07-01,61636,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2009,August,8,2009-08-01,59495,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2009,September,9,2009-09-01,60130,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2009,October,10,2009-10-01,61529,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2009,November,11,2009-11-01,59172,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2009,December,12,2009-12-01,60207,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2010,January,1,2010-01-01,60179,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2010,February,2,2010-02-01,54551,United Kingdom
