group,category,type,pos-neutral-neg,color
sex,sex,high_sex_drive,NA,lightpink
sex,sex,protected_sex,NA,lightblue1
sex,sex,unprotected_sex,NA,deeppink
sex,sex,withdrawal_sex,NA,lightpink3
period,period,heavy,NA,brown4
period,period,medium,NA,brown3
period,period,light,NA,brown1
period,period,spotting,NA,coral
fertility,fluid,atypical,neg,chartreuse
fertility,fluid,creamy,NA,bisque2
fertility,fluid,egg_white,NA,cornflowerblue
fertility,fluid,sticky,NA,darkgoldenrod1
fertility,test,ovulation_test_neg,NA,cornflowerblue
fertility,test,ovulation_test_pos,NA,darkgoldenrod3
fertility,bbt,\N,NA,NA
health,ailment,allergy_ailment,neg,darkolivegreen3
health,ailment,cold_flu_ailment,neg,dodgerblue
health,ailment,fever_ailment,neg,darkorange1
health,ailment,injury_ailment,neg,firebrick1
health,appointment,doctor_appointment,NA,dodgerblue
health,appointment,ob_gyn_appointment,NA,deeppink
health,weight,\N,NA,NA
health,medication,antibiotic_medication,neg,darkorange1
health,medication,antihistamine_medication,neg,darkolivegreen3
health,medication,cold_flu_medication,neg,dodgerblue
health,medication,pain_medication,neg,firebrick1
health,pain,cramps,neg,firebrick1
health,pain,headache,neg,palegreen3
health,pain,ovulation_pain,neg,rosybrown1
health,pain,tender_breasts,neg,indianred1
health,sleep,>9,neutral,steelblue4
health,sleep,0-3,neg,firebrick1
health,sleep,3-6,neg,lightcoral
health,sleep,6-9,pos,steelblue2
nutrition,digestion,bloated,neg,firebrick1
nutrition,digestion,gassy,neg,firebrick1
nutrition,digestion,great_digestion,pos,steelblue2
nutrition,digestion,nauseated,neg,olivedrab3
nutrition,poop,constipated,neg,firebrick4
nutrition,poop,diarrhea,neg,olivedrab3
nutrition,poop,great_poop,pos,steelblue2
nutrition,poop,normal_poop,pos,gray
nutrition,craving,carbs_craving,NA,wheat
nutrition,craving,chocolate_craving,NA,tan4
nutrition,craving,salty_craving,NA,snow3
nutrition,craving,sweet_craving,NA,palevioletred1
mental,energy,energized,pos,steelblue3
mental,energy,exhausted,neg,tomato1
mental,energy,high_energy,pos,steelblue1
mental,energy,low_energy,neg,tomato3
mental,emotion,happy,pos,steelblue1
mental,emotion,pms,neg,tomato1
mental,emotion,sad,neg,tomato3
mental,emotion,sensitive_emotion,neg,tomato4
mental,mental,calm,pos,steelblue1
mental,mental,distracted,neg,sienna1
mental,mental,focused,pos,slateblue1
mental,mental,stressed,neg,tomato1
mental,motivation,motivated,pos,steelblue1
mental,motivation,productive,pos,slateblue1
mental,motivation,unmotivated,neg,sienna1
mental,motivation,unproductive,neg,tomato1
mental,social,conflict_social,neg,firebrick1
mental,social,sociable,pos,steelblue1
mental,social,supportive_social,pos,slateblue1
mental,social,withdrawn_social,neutral,gray
activities,exercise,biking,pos,steelblue1
activities,exercise,running,pos,steelblue1
activities,exercise,swimming,pos,steelblue1
activities,exercise,yoga,pos,steelblue1
activities,party,big_night_party,NA,deeppink
activities,party,cigarettes,neg,gray40
activities,party,drinks_party,neg,darkgoldenrod1
activities,party,hangover,neg,olivedrab3
activities,appointment,vacation_appointment,pos,darkgoldenrod1
activities,appointment,date_appointment,pos,deeppink
misc,hair,bad_hair,neg,tomato1
misc,hair,dry_hair,neg,tomato1
misc,hair,good_hair,pos,steelblue1
misc,hair,oily_hair,neg,tomato1
misc,skin,acne_skin,neg,tomato1
misc,skin,dry_skin,neg,tomato1
misc,skin,good_skin,pos,steelblue1
misc,skin,oily_skin,neg,tomato1
misc,collection_method,menstrual_cup_collection_method,NA,NA
misc,collection_method,pad_collection_method,NA,NA
misc,collection_method,panty_liner_collection_method,NA,NA
misc,collection_method,tampon_collection_method,NA,NA
