country,holiday_name
Brazil,New Year
Brazil,Carnival
Brazil,Valentine's day
Brazil,Good Friday
Brazil,Labor day
Brazil,Corpus Christi
Brazil,Brazilian Valentine's day
Brazil,Independence day
Brazil,Nossa Senhora de Aparecida
Brazil,Day of the dead
Brazil,Proclamation of the Republic
Brazil,Christmas
France,New Year
France,Valentine's day
France,Easter Monday
France,Labor day
France,Ascension
France,War victory
France,Whit Monday
France,Bastille day
France,Toussaint
France,Armistice
France,Christmas
United States,New Year
United States,Valentine's day
United States,Memorial day
United States,Independence day
United States,Labor day
United States,Thanksgiving
United States,Christmas
United Kingdom,New Year
United Kingdom,Valentine's day
United Kingdom,Good Friday
United Kingdom,Easter Monday
United Kingdom,Early May Bank Holiday
United Kingdom,Spring Bank Holiday
United Kingdom,Summer Bank Holiday
United Kingdom,Christmas
