country,date,holiday_name
Germany,2000-01-01,New Year
Germany,2000-02-14,Valentine's day
Germany,2000-05-01,Labor day
Germany,2000-10-03,National day
Germany,2000-12-25,Christmas
France,2000-01-01,New Year
France,2000-02-14,Valentine's day
France,2000-05-01,Labor day
France,2000-05-08,War victory
France,2000-07-14,National day
France,2000-11-01,Toussaint
France,2000-11-11,Armistice
France,2000-12-25,Christmas
Switzerland,2000-01-01,New Year
Switzerland,2000-02-14,Valentine's day
Switzerland,2000-08-01,National day
Switzerland,2000-12-25,Christmas
United States,2000-01-01,New Year
United States,2000-02-14,Valentine's day
United States,2000-07-04,National day
United States,2000-09-05,Labor day
United States,2000-11-25,Thanksgiving
United States,2000-12-25,Christmas
Brazil,2000-01-01,New Year
Brazil,2000-02-14,Valentine's day
Brazil,2000-04-21,Tiradentes Day
Brazil,2000-05-01,Labor day
Brazil,2000-09-07,National day
Brazil,2000-10-12,Nossa Senhora de Aparecida
Brazil,2000-11-02,All souls
Brazil,2000-11-15,Proclamation of the Republic
Brazil,2000-12-25,Christmas
